player,archetype,PC1,PC2,Performance_Gls_norm,Performance_TklW_norm,Total_Cmp%_norm,Progression_PrgC_norm,Creativity_Score_norm,archetype_name
Dan Burn,3,-1.57753421765617,1.697100155226478,-0.1714876835940464,1.2180971512424046,0.3260135099987945,-0.6499330418750948,0.2095717174043153,Ball-Playing Defender
Elliot Anderson,5,-0.6986063706154624,-0.46438595997338455,-0.7072367930041181,-0.0414929320479531,0.2512414966037048,0.1563480228107967,-0.0026461114633876,Wide Midfielder
Emil Krafth,1,-3.5466474237772916,-0.8234158562273006,-0.7072367930041181,-0.3773836209253818,0.7123355792067609,-0.7200444388043028,0.2653792996182115,Center Back
Fabian Schär,3,-1.0198860404020205,3.212486256324835,0.3642614258160251,0.4623431012681899,0.5503295501840654,-0.1591532633706391,0.3177319077296616,Ball-Playing Defender
Harvey Barnes,6,4.08086255874956,-3.2894989015540617,0.6321359805210609,-1.4690283597770253,-0.2347765904643836,0.4367936105276286,-0.2275928891142767,Attacking Midfielder
Jacob Murphy,6,4.337383189457312,-1.7377039994122634,0.0963868711109893,-0.7132743098028106,-1.5308248226459515,0.0161252289523808,1.3124425001031337,Attacking Midfielder
Jamaal Lascelles,1,-3.609562137451397,-1.3949020033713875,-0.4393622382990823,-0.7972469820221677,0.998961630554609,-0.8602672326627188,0.9468168301914168,Center Back
Joelinton,5,-0.5101769181026757,0.6511531551332923,-0.1714876835940464,0.7142611179262615,0.6500255680441857,-0.1240975649060351,0.1452021280164132,Wide Midfielder
Kieran Trippier,0,3.3589783073406347,5.378375665780548,-0.4393622382990823,0.7142611179262615,-0.2721625971619285,0.0511809274169848,8.64982324921221,Central Midfielder
Lewis Hall,1,-2.558755329496039,-1.0784631037308887,-0.4393622382990823,-0.0414929320479531,0.4381715300914308,-0.4746545495520749,0.7883553076461153,Center Back
Lewis Miley,1,-1.7332907098166745,-0.9564378033494758,-0.4393622382990823,0.2104250846101184,0.5004815412540062,-0.6499330418750948,0.0358222104120884,Center Back
Miguel Almirón,5,1.0891432031667911,0.3384856483683426,0.0963868711109893,0.4623431012681899,0.6251015635791569,1.59363165985956,0.1376390830030186,Wide Midfielder
Sean Longstaff,5,1.8447873683684524,1.680829380394912,0.9000105352260968,0.966179134584333,0.1889314854411294,-0.299376057229055,0.0247986721682886,Wide Midfielder
Sven Botman,1,-2.9691314472190844,-0.7003107437186468,-0.1714876835940464,-0.461356293144739,1.5223657243202404,-1.140712820379551,0.3804494381484496,Center Back
Valentino Livramento,1,-2.3223084784630283,0.3441883917779636,-0.4393622382990823,-0.461356293144739,0.9366516193920336,0.4017379120630246,0.2200065486658027,Center Back
Andrew Omobamidele,1,-4.864842543088426,-2.0993084975608802,-0.7072367930041181,-1.3010830153383108,1.1235816528797598,-1.1056571219149467,0.9468168301914168,Center Back
Anthony Elanga,6,6.134096636091451,-0.6710591473909235,0.6321359805210609,0.042479740171404,-1.0572687378103776,2.2947456291516395,2.185044226089095,Attacking Midfielder
Callum Hudson-Odoi,6,4.050198141790013,-0.9331453978946597,1.4357596446361682,-0.8812196542415249,-0.0478465569766575,2.750469709191492,0.5405133475112329,Attacking Midfielder
Chris Wood,6,5.64321553597261,-6.299683460140689,3.043006972866383,-1.2171103431189536,-1.7676028650637368,-0.5798216449458868,0.0279188191745444,Attacking Midfielder
Danilo,3,-1.239791535336196,0.7420113837052502,-0.1714876835940464,-0.0414929320479531,-0.0852325636742024,-0.3694874541582629,-0.0218857915290849,Ball-Playing Defender
Divock Origi,4,-0.6963071820848418,-4.452525692255602,-0.7072367930041181,-1.2171103431189536,-1.8049888717612823,-0.4746545495520749,-0.0830156528049491,Poacher
Gonzalo Montiel,1,-2.7554720407896633,-1.2822796775186844,-0.7072367930041181,0.042479740171404,-0.3469346105570199,-0.8252115341981148,0.1440688670754619,Center Back
Harry Toffolo,1,-1.1652835017174503,-1.914229940161325,-0.4393622382990823,-0.3773836209253818,-0.8080286931600761,-0.7901558357335108,0.0027736721925258,Center Back
Ibrahim Sangaré,1,-3.95067799795937,-0.24684299169635257,-0.7072367930041181,0.3783704290488328,0.1764694832086133,-0.9654343280565306,0.544330744349665,Center Back
Morgan Gibbs-White,2,7.78184067853775,5.066774816930138,0.6321359805210609,0.4623431012681899,-0.9700347221827734,1.628687358324164,11.964412812888456,Complete Forward
Moussa Niakhate,1,-3.6968529030608326,-0.49488274746557653,-0.4393622382990823,0.5463157734875471,0.1640074809760989,-0.6849887403396988,0.8884612505696999,Center Back
Murillo,3,-2.4489237676268356,2.1092075924779725,-0.7072367930041181,1.05015180680369,-0.1849285815343226,-0.3694874541582629,0.2491089103945524,Ball-Playing Defender
Neco Williams,3,-1.3385329308601612,0.3573628958387738,-0.7072367930041181,1.805905856777905,-1.5308248226459515,0.5419607059214405,0.0653293081911779,Ball-Playing Defender
Nicolás Domínguez,3,-1.6296147805866794,1.1110898797443505,-0.1714876835940464,1.3020698234617618,0.7871075926018525,-0.6499330418750948,0.2366117649856519,Ball-Playing Defender
Ola Aina,3,-2.054281524329826,0.6390704092137199,-0.4393622382990823,1.05015180680369,-0.3843206172545648,0.6821834997798565,0.2315967173800781,Ball-Playing Defender
Orel Mangala,1,-3.9304042214151758,0.3315426540026463,-0.4393622382990823,-0.461356293144739,1.2232776707398798,-0.6849887403396988,0.6732042219058092,Center Back
Ryan Yates,3,-1.300537344084656,1.5639757299223522,-0.4393622382990823,1.805905856777905,0.1390834765110684,-0.5097102480166789,0.3967198273721086,Ball-Playing Defender
Serge Aurier,1,-2.8761188168017906,-1.6612132892915474,-0.7072367930041181,-0.3773836209253818,-0.0852325636742024,-0.7901558357335108,0.6430440273182169,Center Back
Taiwo Awoniyi,4,2.0955621488100333,-4.834190531003029,0.9000105352260968,-0.9651923264608822,-0.7207946775324721,-0.8602672326627188,0.0473314319162959,Poacher
Willy Boly,1,-1.9612140011074588,-0.8856688977713336,-0.1714876835940464,0.8822064623649759,-0.4466306284171401,-1.0004900265211347,0.1743964752111492,Center Back
Andre Brooks,1,-3.7657938115767786,-2.8670033660344463,-0.7072367930041181,-0.461356293144739,-0.3718586150220486,-0.7200444388043028,0.8884612505696999,Center Back
Anel Ahmedhodžić,1,-2.6976830654511104,0.5192264873968969,-0.1714876835940464,1.470015167900476,-0.3718586150220486,-0.6148773434104908,0.3967198273721086,Center Back
Auston Trusty,1,-3.897978531393848,-0.19049047123739513,-0.7072367930041181,0.966179134584333,-0.2597005949294141,-0.7901558357335108,0.2605316655607327,Center Back
Ben Brereton,4,2.4609537118484,-4.31977166631839,0.9000105352260968,-1.2171103431189536,-0.3469346105570199,-0.334431755693659,0.1260709908005798,Poacher
Ben Osborn,1,-2.9371098787842627,-1.3387268169105695,-0.7072367930041181,-0.7972469820221677,-0.5837126529748052,-0.5798216449458868,0.1674865270062574,Center Back
Cameron Archer,4,0.5567303252978889,-2.52897544081507,0.3642614258160251,-0.461356293144739,0.2138554899061581,0.0161252289523808,0.1452021280164132,Poacher
George Baldock,1,-3.3425393928607647,-1.6240776456121782,-0.7072367930041181,-0.7132743098028106,-0.6335606619048662,-0.8252115341981148,0.3967198273721086,Center Back
Gustavo Hamer,0,3.9920238848362146,3.2121276561796406,0.3642614258160251,0.2104250846101184,-1.2317367690655892,0.1212923243461927,7.191452556697447,Central Midfielder
Jack Robinson,3,-2.5998536992162675,0.7609992137761455,-0.4393622382990823,0.7982337901456187,-0.8828007065551676,-0.8602672326627188,0.138146842775263,Ball-Playing Defender
James Mcatee,5,1.4624516065020046,-1.4870307009214245,0.0963868711109893,0.2104250846101184,-1.2566607735306197,0.8224062936382724,0.3293809471421683,Wide Midfielder
Jayden Bogle,5,-0.6838800579708461,0.8932592917927683,0.0963868711109893,1.470015167900476,-0.9700347221827734,0.1914037212754007,0.2366117649856519,Wide Midfielder
Luke Thomas,1,-3.912895711719568,-2.5974775924806006,-0.7072367930041181,-0.7972469820221677,-0.62109865967235,-0.8602672326627188,0.9468168301914168,Center Back
Mason Holgate,1,-3.6477683662438865,-3.5878883925911125,-0.7072367930041181,-0.9651923264608822,-1.6180588382735557,-1.140712820379551,0.835288132101652,Center Back
Max Lowe,1,-3.072962991485525,-4.309457851879753,-0.7072367930041181,-0.7132743098028106,-1.7177548561336775,-0.9654343280565306,0.6267736380945578,Center Back
Oliver Arblaster,1,-3.4269801024818056,-1.519421801085381,-0.7072367930041181,-0.3773836209253818,0.1515454787435828,-0.6499330418750948,0.2553492044070639,Center Back
Oliver McBurnie,4,3.534010181620675,-5.216108352168246,0.9000105352260968,-0.9651923264608822,-2.378240974456976,-0.9303786295919266,-0.0255725690058163,Poacher
Oliver Norwood,1,-2.3302765536028884,-0.5047624853153849,-0.4393622382990823,0.6302884457069043,-1.0946547445079242,-1.0355457249857387,0.0513475173612583,Center Back
Vinicius Souza,3,-3.293224297643814,2.5726677898209283,-0.4393622382990823,4.828922056674763,0.1266214742785541,-0.8602672326627188,0.7833402600405415,Ball-Playing Defender
William Osula,4,-0.8709801891404332,-7.219668622782307,-0.7072367930041181,-1.385055687557668,-3.20073312180297,-0.8953229311273228,1.005172409813134,Poacher
Yasser Larouci,1,-3.413019356771401,-3.3719916441872066,-0.7072367930041181,-0.7972469820221677,-0.9451107177177428,-0.5097102480166789,0.8401357661591307,Center Back
Ben Davies,1,-3.012592767496741,0.08511344208090775,-0.4393622382990823,-0.1254656042673103,1.4600557131576652,-0.6849887403396988,0.6898094382256585,Center Back
Brennan Johnson,6,8.154454189650995,0.11805419584701775,0.6321359805210609,-0.2934109487060247,-0.8828007065551676,2.259689930687036,5.479492652132977,Attacking Midfielder
Cristian Romero,0,-1.0109684997419952,5.438617543927516,0.6321359805210609,1.805905856777905,1.6594477488779074,-0.0189304695122231,0.544330744349665,Central Midfielder
Dejan Kulusevski,2,8.34124746140564,4.828229949143199,1.4357596446361682,1.2180971512424046,-0.1475425748367777,4.152697647775651,9.14887383753707,Complete Forward
Destiny Udogie,0,0.3148088354917613,5.095702149281099,-0.1714876835940464,1.2180971512424046,0.9241896171595176,1.76891015218258,0.0616958822847186,Central Midfielder
Emerson,3,-3.27119989647521,0.8231445066574236,-0.4393622382990823,0.4623431012681899,1.4849797176226955,-0.4045431526228669,0.738302336184323,Ball-Playing Defender
Giovani Lo Celso,5,0.4489785471328438,-0.784822726818345,-0.1714876835940464,-0.461356293144739,1.360359695297545,-0.264320358764451,-0.0001845803935939,Wide Midfielder
James Maddison,2,7.6249181120548695,4.2632755230763495,0.3642614258160251,0.042479740171404,0.2886275033012496,0.8925176905674803,6.454056587746128,Complete Forward
